DATE,NY,T_WA
2017-01-24,38.75,38.75
2017-01-25,35.916666666666664,35.916666666666664
2017-01-26,39.0,39.0
2017-01-27,43.58333333333334,43.58333333333334
2017-01-28,37.91666666666666,37.91666666666666
2017-01-29,34.166666666666664,34.166666666666664
2017-01-30,33.083333333333336,33.083333333333336
2017-01-31,28.363636363636363,28.363636363636363
2017-02-01,24.90909090909091,24.90909090909091
2017-02-02,33.25,33.25
2017-02-03,32.0,32.0
2017-02-04,25.75,25.75
2017-02-05,25.25,25.25
2017-02-06,32.166666666666664,32.166666666666664
2017-02-07,33.666666666666664,33.666666666666664
2017-02-08,35.416666666666664,35.416666666666664
2017-02-09,45.08333333333334,45.08333333333334
2017-02-10,24.90909090909091,24.90909090909091
2017-02-11,21.4,21.4
2017-02-12,32.333333333333336,32.333333333333336
2017-02-13,32.083333333333336,32.083333333333336
2017-02-14,30.54545454545455,30.54545454545455
2017-02-15,29.09090909090909,29.09090909090909
2017-02-16,35.75,35.75
2017-02-17,29.58333333333333,29.58333333333333
2017-02-18,30.5,30.5
2017-02-19,39.66666666666666,39.66666666666666
2017-02-20,49.16666666666666,49.16666666666666
2017-02-21,38.5,38.5
2017-02-22,34.416666666666664,34.416666666666664
2017-02-23,45.91666666666666,45.91666666666666
2017-02-24,50.0,50.0
2017-02-25,55.08333333333334,55.08333333333334
2017-02-26,52.08333333333334,52.08333333333334
2017-02-27,35.25,35.25
2017-02-28,39.41666666666666,39.41666666666666
2017-03-01,47.25,47.25
2017-03-02,55.33333333333334,55.33333333333334
2017-03-03,43.0,43.0
2017-03-04,27.75,27.75
2017-03-05,21.7,21.7
2017-03-06,21.33333333333333,21.33333333333333
2017-03-07,29.75,29.75
2017-03-08,44.66666666666666,44.66666666666666
2017-03-09,49.91666666666666,49.91666666666666
2017-03-10,46.83333333333334,46.83333333333334
2017-03-11,29.91666666666667,29.91666666666667
2017-03-12,19.454545454545453,19.454545454545453
2017-03-13,19.666666666666668,19.666666666666668
2017-03-14,21.416666666666668,21.416666666666668
2017-03-15,26.91666666666667,26.91666666666667
2017-03-16,22.16666666666667,22.16666666666667
2017-03-17,28.66666666666667,28.66666666666667
2017-03-18,32.333333333333336,32.333333333333336
2017-03-19,29.33333333333333,29.33333333333333
2017-03-20,35.666666666666664,35.666666666666664
2017-03-21,37.66666666666666,37.66666666666666
2017-03-22,44.25,44.25
2017-03-23,30.58333333333333,30.58333333333333
2017-03-24,28.16666666666667,28.16666666666667
2017-03-25,37.583333333333336,37.583333333333336
2017-03-26,44.08333333333334,44.08333333333334
2017-03-27,37.083333333333336,37.083333333333336
2017-03-28,44.25,44.25
2017-03-29,43.33333333333334,43.33333333333334
2017-03-30,45.33333333333334,45.33333333333334
2017-03-31,39.5,39.5
2017-04-01,38.083333333333336,38.083333333333336
2017-04-02,39.41666666666666,39.41666666666666
2017-04-03,46.83333333333334,46.83333333333334
2017-04-04,47.08333333333334,47.08333333333334
2017-04-05,48.16666666666666,48.16666666666666
2017-04-06,49.08333333333334,49.08333333333334
2017-04-07,46.0,46.0
2017-04-08,43.45454545454545,43.45454545454545
2017-04-09,44.0,44.0
