DATE,FL,T_WA
2017-09-10,74.71531250000002,74.71531250000002
2017-09-11,74.65062499999998,74.65062499999998
2017-09-12,77.79875000000001,77.79875000000001
2017-09-13,77.9909375,77.9909375
2017-09-14,80.1978125,80.1978125
2017-09-15,81.45916666666669,81.45916666666669
2017-09-16,81.36571428571429,81.36571428571429
2017-09-17,80.81,80.81
2017-09-18,79.7425,79.7425
2017-09-19,80.08500000000002,80.08500000000002
2017-09-20,81.225,81.225
2017-09-21,80.45000000000002,80.45000000000002
2017-09-22,79.63000000000002,79.63000000000002
2017-09-23,80.26250000000002,80.26250000000002
2017-09-24,80.6575,80.6575
2017-09-25,80.98750000000003,80.98750000000003
2017-09-26,80.78,80.78
2017-09-27,80.84,80.84
2017-09-28,81.1325,81.1325
2017-09-29,79.665,79.665
2017-09-30,79.3475,79.3475
2017-10-01,78.1575,78.1575
2017-10-02,79.22999999999998,79.22999999999998
2017-10-03,79.0275,79.0275
2017-10-04,78.04333333333334,78.04333333333334
2017-10-05,77.43142857142857,77.43142857142857
2017-10-06,80.65773809523809,80.65773809523809
2017-10-07,82.52142857142857,82.52142857142857
2017-10-08,81.89750000000002,81.89750000000002
2017-10-09,82.2325,82.2325
2017-10-10,82.1775,82.1775
2017-10-11,80.7675,80.7675
2017-10-12,79.3425,79.3425
2017-10-13,79.2975,79.2975
2017-10-14,80.60000000000002,80.60000000000002
2017-10-15,80.10750000000002,80.10750000000002
2017-10-16,79.3075,79.3075
2017-10-17,74.525,74.525
2017-10-18,73.75083333333333,73.75083333333333
2017-10-19,75.67,75.67
2017-10-20,77.125,77.125
2017-10-21,77.8175,77.8175
2017-10-22,79.51157142857143,79.51157142857143
2017-10-23,79.18416666666667,79.18416666666667
2017-10-24,72.7784375,72.7784375
2017-10-25,65.45750000000001,65.45750000000001
2017-10-26,62.14758928571428,62.147589285714275
2017-10-27,68.5,68.5
2017-10-28,71.395,71.395
2017-10-29,63.175,63.175
2017-10-30,57.015,57.015
2017-10-31,61.295,61.295
2017-11-01,66.3425,66.3425
2017-11-02,69.6375,69.6375
2017-11-03,70.77,70.77
2017-11-04,71.6875,71.6875
2017-11-05,72.04499999999999,72.04499999999999
2017-11-06,72.75,72.75
2017-11-07,72.71000000000002,72.71000000000002
2017-11-08,73.65,73.65
2017-11-09,72.39166666666667,72.39166666666667
2017-11-10,68.195,68.195
