DATE,CO,ID,MT,NV,OR,UT,WA,WY,T_WA
2019-03-29,50.611111111111114,44.66666666666666,35.63636363636363,48.625,46.125,,48.7,38.53846153846154,47.574263737434784
2019-03-30,37.66666666666666,44.33333333333334,36.0,46.0,46.875,,48.8,33.07692307692308,44.16964290338602
2019-03-31,33.166666666666664,45.0,36.90909090909091,46.875,47.375,,47.7,30.615384615384613,42.97706902431039
2019-04-01,35.5,44.25,36.72727272727273,49.0,49.875,,49.4,33.0,44.774020635416505
2019-04-02,40.333333333333336,46.25,38.54545454545455,52.25,51.875,,50.3,36.153846153846146,47.28275886890826
2019-04-03,43.444444444444436,49.33333333333334,38.27272727272727,51.14285714,52.375,,53.1,36.583333333333336,49.08328331146172
2019-04-04,45.38888888888889,51.0,41.81818181818182,52.5,51.75,,53.8,42.0,50.243767821061454
2019-04-05,47.944444444444436,52.0,48.45454545454545,54.875,51.875,,51.1,45.25,50.773092962976555
2019-04-06,52.72222222222222,51.75,46.54545454545455,53.0,47.5,,50.555555555555564,48.0,50.700273685242976
2019-04-07,51.83333333333334,46.75,47.27272727272727,51.875,48.375,,46.444444444444436,45.69230769230769,48.80478717347254
2019-04-08,50.77777777777778,50.5,48.45454545454545,58.375,53.125,,49.33333333333334,46.0,51.46460313828859
2019-04-09,54.055555555555564,53.75,46.81818181818182,60.75,51.625,,47.88888888888889,48.30769230769231,52.056153297400115
2019-04-10,57.27777777777778,45.0,42.45454545454545,52.875,47.25,,51.33333333333334,46.846153846153854,51.26505636664028
2019-04-11,39.27777777777778,43.75,38.18181818181818,47.75,46.25,,49.22222222222222,31.384615384615387,44.81501062640535
2019-04-12,30.411764705882355,44.25,36.45454545454545,48.375,47.25,,48.33333333333334,28.538461538461537,42.563185999761615
2019-04-13,33.72222222222222,44.25,37.27272727272727,47.75,48.25,,49.5,29.384615384615387,43.87425973730105
2019-04-14,36.444444444444436,46.75,40.0,51.25,46.875,,46.7,33.92307692307692,44.26192900294321
2019-04-15,44.66666666666666,46.25,44.90909090909091,56.0,43.75,,45.4,42.46153846153846,46.261232848359654
2019-04-16,53.88888888888889,47.25,42.72727272727273,58.42857143,42.625,,44.7,43.08333333333334,48.349017589412696
2019-04-17,52.38888888888889,49.0,42.0,49.75,49.125,,48.7,43.769230769230774,49.396570676406284
2019-04-18,50.22222222222222,49.25,47.72727272727273,53.25,54.875,,54.7,43.41666666666666,52.49157384282738
2019-04-19,46.88888888888889,54.5,49.90909090909091,60.375,58.75,,57.2,46.0,54.62133913183559
2019-04-20,51.16666666666666,60.5,59.36363636363637,63.125,59.625,,57.5,52.30769230769231,57.25792407340539
2019-04-21,58.0,56.5,50.72727272727273,62.75,51.75,,55.6,55.08333333333334,56.25158810506309
2019-04-22,54.11764705882353,51.75,48.09090909090909,55.0,51.5,,53.0,45.30769230769231,52.765096575941136
2019-04-23,46.33333333333334,54.5,48.90909090909091,57.625,53.125,,52.9,43.846153846153854,51.698684575303325
2019-04-24,50.352941176470594,56.5,57.45454545454545,61.625,59.0,,57.2,47.846153846153854,56.17945838138426
2019-04-25,55.17647058823529,57.0,51.54545454545455,65.625,56.25,,53.1,51.153846153846146,55.921042770863835
2019-04-26,53.611111111111114,52.25,46.0,67.375,56.25,,51.9,46.92307692307693,54.692056107090416
2019-04-27,56.83333333333334,53.5,45.54545454545455,67.875,55.125,,56.1,49.53846153846154,56.79091289712884
2019-04-28,53.444444444444436,51.0,44.09090909090909,65.875,50.125,,48.0,45.846153846153854,51.953778908522665
2019-04-29,56.611111111111114,44.25,31.63636363636364,62.875,46.75,,47.8,39.230769230769226,50.46184026429682
2019-04-30,41.27777777777778,44.25,31.0,57.625,47.375,,49.1,30.23076923076923,46.40374475312247
2019-05-01,42.27777777777778,42.0,32.90909090909091,51.5,48.875,,49.8,32.615384615384606,46.31868034496715
2019-05-02,42.833333333333336,43.75,36.36363636363637,50.125,47.625,,50.6,33.07692307692308,46.60368891366352
2019-05-03,45.111111111111114,49.75,43.36363636363637,55.0,49.875,,53.3,38.846153846153854,49.910974272755595
2019-05-04,49.611111111111114,50.75,46.90909090909091,59.25,53.625,,53.1,43.0,52.45302353850798
2019-05-05,53.0,56.0,45.81818181818182,62.375,57.5,,55.6,47.53846153846154,55.57940729039688
2019-05-06,56.22222222222222,59.0,42.63636363636363,63.125,59.875,,60.5,48.769230769230774,58.519282721329475
2019-05-07,54.83333333333334,59.0,46.18181818181818,61.25,61.125,,59.6,47.07692307692307,57.998879529013905
2019-05-08,51.352941176470594,56.0,48.0,60.0,60.375,,62.3,44.615384615384606,57.52851996108703
2019-05-09,43.235294117647065,55.0,47.27272727272727,60.5,59.5,,62.3,40.07692307692308,55.284739012296214
2019-05-10,38.388888888888886,53.25,45.18181818181818,56.625,61.75,,62.9,37.46153846153846,53.929826564222154
2019-05-11,42.66666666666666,53.75,51.72727272727273,56.75,61.875,,63.0,41.46153846153846,55.44448421437241
2019-05-12,47.88888888888889,59.5,53.54545454545455,60.25,64.125,,64.3,47.0,58.58341709300202
2019-05-13,52.055555555555564,65.25,58.72727272727273,63.85714286,62.375,,64.4,52.07692307692307,60.54299788468067
2019-05-14,59.055555555555564,65.0,62.45454545454545,66.57142857,59.875,,60.1,57.92307692307693,61.053389684296654
2019-05-15,61.444444444444436,66.0,60.45454545454545,67.14285714,57.25,,56.3,58.46153846153846,60.035808633914584
2019-05-16,62.33333333333334,63.25,61.36363636363637,66.57142857,56.0,,55.9,60.08333333333334,59.705455850855365
2019-05-17,64.6111111111111,59.0,53.27272727272727,52.85714286,53.875,,58.8,59.66666666666666,58.35774514376785
2019-05-18,55.83333333333334,47.75,43.45454545454545,50.0,53.0,,56.5,48.83333333333334,53.48670276752711
2019-05-19,47.22222222222222,53.0,42.18181818181818,53.71428571,54.125,,56.5,41.75,52.26372322129468
2019-05-20,46.555555555555564,52.0,43.54545454545455,50.42857143,52.125,,59.8,39.91666666666666,52.3194478326684
2019-05-21,42.388888888888886,51.5,44.18181818181818,51.0,53.75,,57.7,39.25,50.99317334537778
2019-05-22,39.0,51.25,47.63636363636363,50.57142857,51.75,,58.0,36.91666666666666,49.952282195027934
2019-05-23,43.72222222222222,52.25,51.27272727272727,48.75,56.875,,60.6,39.583333333333336,52.86503825176826
2019-05-24,42.833333333333336,53.0,51.18181818181818,51.125,60.875,,62.5,40.75,54.33578878397846
2019-05-25,50.611111111111114,54.75,52.27272727272727,56.125,55.75,,58.3,46.5,54.92541753558749
2019-05-26,55.111111111111114,54.75,54.63636363636363,57.5,51.75,,56.7,50.25,55.165659330388465
2019-05-27,59.611111111111114,58.0,54.0,54.25,57.5,,60.3,54.5,58.283413271065704
2019-05-28,54.72222222222222,56.0,52.90909090909091,51.375,59.5,,64.0,48.33333333333334,57.922186625332806
2019-05-29,49.055555555555564,60.75,55.27272727272727,58.5,61.0,,64.8,46.25,58.40093664941194
2019-05-30,49.444444444444436,61.5,58.36363636363637,61.375,61.75,,64.5,49.25,59.16231426369817
2019-05-31,52.944444444444436,62.75,62.36363636363637,62.75,62.625,,66.0,53.0,61.161098447128076
2019-06-01,57.77777777777778,64.25,59.09090909090909,64.0,65.625,,66.8,56.25,63.29719284403633
2019-06-02,61.66666666666666,64.0,60.72727272727273,64.5,66.625,,68.1,55.769230769230774,64.9181981134757
2019-06-03,62.27777777777778,65.75,65.81818181818181,66.125,67.25,,67.6,59.615384615384606,65.67101643137556
2019-06-04,63.16666666666666,66.75,68.0909090909091,68.0,64.375,,64.7,60.30769230769231,64.8953533918188
2019-06-05,62.055555555555564,66.25,63.63636363636363,72.375,63.0,,62.111111111111114,60.92307692307693,63.91076098677119
2019-06-06,62.0,67.5,62.63636363636363,75.25,63.25,,60.66666666666666,60.846153846153854,63.898780479670855
2019-06-07,64.0,62.5,63.36363636363637,76.0,54.75,,56.555555555555564,61.92307692307693,61.37396148727555
2019-06-08,67.33333333333333,52.0,54.45454545454545,68.875,51.25,,55.22222222222222,59.0,58.98272783475805
2019-06-09,65.05555555555556,50.5,47.72727272727273,62.375,53.875,,57.555555555555564,45.69230769230769,58.0754481376803
2019-06-10,52.944444444444436,54.75,54.09090909090909,65.25,61.25,,58.33333333333334,46.92307692307693,57.712383608504446
2019-06-11,57.88888888888889,61.75,58.0,70.0,66.75,,66.22222222222223,52.615384615384606,63.783744113052116
2019-06-12,61.22222222222222,65.5,62.09090909090909,73.625,72.125,,71.33333333333333,56.91666666666666,68.16086528976929
2019-06-13,61.38888888888889,69.75,64.0909090909091,77.25,75.875,,74.33333333333333,58.0,70.697404085886
2019-06-14,65.94444444444444,70.75,68.9090909090909,77.25,70.875,,71.3,62.53846153846154,70.3493744814553
2019-06-15,67.77777777777777,69.25,67.18181818181819,74.0,66.875,,67.8,60.92307692307693,68.34003093004662
2019-06-16,63.16666666666666,69.0,64.18181818181819,75.25,65.875,,67.0,60.846153846153854,66.8171296071864
2019-06-17,64.5,68.0,63.18181818181818,76.0,67.875,,69.0,59.0,68.05040006214716
2019-06-18,62.411764705882355,70.0,62.90909090909091,73.5,68.625,,71.0,58.846153846153854,68.12758825839346
2019-06-19,59.38888888888889,68.75,64.54545454545455,75.5,65.875,,68.1,59.46153846153846,66.25842170753323
2019-06-20,63.72222222222222,64.75,60.90909090909091,76.75,61.0,,61.2,60.0,63.97590636407361
2019-06-21,67.44444444444444,52.25,51.54545454545455,75.75,57.0,,59.8,55.46153846153846,62.144450772296096
2019-06-22,58.22222222222222,52.0,51.09090909090909,66.125,57.125,,62.5,47.53846153846154,59.35737712682525
2019-06-23,55.0,55.0,56.54545454545455,63.875,60.75,,63.1,49.615384615384606,59.638006456483716
2019-06-24,53.611111111111114,62.75,58.45454545454545,68.25,61.75,,63.3,52.0,60.81979824451969
2019-06-25,60.72222222222222,63.0,58.0,72.375,60.125,,61.2,58.30769230769231,62.24778180965214
2019-06-26,66.0,66.5,57.54545454545455,75.25,62.375,,61.8,60.66666666666666,64.75510394895981
2019-06-27,69.3888888888889,67.66666666666667,62.36363636363637,71.57142857,62.0,,62.555555555555564,64.58333333333333,65.66185477693554
2019-06-28,71.44444444444444,66.66666666666667,63.81818181818182,72.875,56.0,,58.88888888888889,65.76923076923077,64.13024309195077
2019-06-29,73.1111111111111,65.0,62.45454545454545,73.125,59.0,,59.111111111111114,68.61538461538461,65.03975109578842
