DATE,DE,NJ,OH,VA,WV,T_WA
2016-06-20,74.0,75.66666666666667,75.69230769230771,71.0,71.0,74.1130184636314
2016-06-21,77.5,74.0,80.61538461538461,75.08333333333333,71.4,76.67700078178744
2016-06-22,78.0,77.33333333333333,75.61538461538461,79.58333333333333,74.8,77.18376071002702
2016-06-23,75.0,74.66666666666667,70.25,78.91666666666667,69.0,73.876592451162
2016-06-24,74.0,73.66666666666667,72.61538461538461,77.08333333333333,72.0,74.11257020290995
2016-06-25,74.5,72.33333333333333,72.23076923076924,77.66666666666667,72.6,73.80517551735105
2016-06-26,72.5,71.33333333333333,72.15384615384616,74.0,74.2,72.54521567274217
2016-06-27,71.0,72.33333333333333,77.91666666666667,72.58333333333333,75.4,74.57963006870243
2016-06-28,72.5,72.0,77.38461538461539,74.83333333333333,76.2,74.984972025993
2016-06-29,76.5,73.0,69.53846153846153,76.83333333333333,73.8,72.90898523468441
2016-06-30,75.5,75.0,66.23076923076923,76.91666666666667,67.4,71.88516995616892
2016-07-01,73.5,73.0,67.92307692307692,75.0,66.8,71.34033452625123
2016-07-02,77.0,74.33333333333333,69.92307692307692,78.66666666666667,69.8,73.70293922393628
2016-07-03,72.0,71.0,64.53846153846153,76.83333333333333,68.4,70.07680110355284
2016-07-04,68.0,69.33333333333333,65.38461538461539,69.41666666666667,67.4,67.75804150829637
2016-07-05,70.0,71.0,67.38461538461539,72.16666666666667,71.0,69.95596451110252
2016-07-06,81.5,79.33333333333333,77.46153846153847,83.16666666666667,76.2,79.56344611099301
2016-07-07,82.0,81.33333333333333,76.46153846153847,83.33333333333333,77.0,79.85894853751952
2016-07-08,83.5,82.33333333333333,79.0,83.08333333333333,72.2,80.77757052582899
2016-07-09,84.5,79.33333333333333,79.0,83.33333333333333,74.4,80.16274371311891
2016-07-10,78.5,70.0,72.92307692307692,82.0,73.8,74.75897629890196
2016-07-11,75.5,73.66666666666667,73.0,78.83333333333333,71.0,74.71187471605812
2016-07-12,74.5,71.0,75.53846153846153,77.91666666666667,72.6,74.71362970337113
2016-07-13,75.5,72.66666666666667,78.69230769230771,79.75,74.6,76.96871752069336
2016-07-14,78.5,75.66666666666667,81.23076923076924,82.91666666666667,77.6,79.84408483384489
2016-07-15,84.5,82.0,78.0,84.66666666666667,77.8,81.08738182997874
