DATE,AR,IL,IN,IA,LA,MI,MN,MS,MO,WI,T_WA
2015-06-19,79.745,65.714,70.885625,70.00250000000001,82.9625,62.41437500000001,62.380625,81.815,73.44500000000002,60.9425,68.78545683177978
2015-06-20,80.48750000000003,68.16650000000001,73.43937500000001,71.69,82.88,63.325625,66.644375,81.79250000000002,79.53125,63.185,71.07112530061342
2015-06-21,82.625,75.947,75.155,74.5475,83.7575,70.008125,69.035,82.3925,78.22625,72.80000000000003,75.34279288694651
2015-06-22,82.5125,77.009,77.8775,76.62875,83.5325,69.31625,68.00803571428571,83.69749999999998,82.05125000000002,72.41749999999998,76.15541835818188
2015-06-23,84.98750000000003,74.58800000000001,77.57374999999998,70.23875,83.5925,67.74406250000001,66.605,85.3175,77.71437500000002,71.08249999999998,74.53801654497387
2015-06-24,84.74000000000002,69.25550000000001,71.819375,67.80875,83.1125,64.3296875,67.634375,80.2625,79.210625,69.4475,71.8955318262271
2015-06-25,85.36999999999998,72.23,73.83875,71.94875,81.05000000000003,67.04093750000001,67.79750000000001,81.32000000000002,81.19999999999997,68.02250000000001,73.40436164662377
2015-06-26,81.52250000000002,66.60050000000001,71.245625,70.38499999999998,82.03464285714288,66.67250000000001,68.11250000000001,80.605,72.815,64.83500000000001,70.52858714203755
2015-06-27,77.72,69.0485,66.065,70.6775,83.1425,64.0765625,68.388125,78.5975,72.12875,66.8075,69.99672186010258
2015-06-28,78.25999999999998,67.919,68.09562500000001,71.42,79.7,66.5965625,67.150625,77.405,73.92875000000002,65.14250000000001,70.05131083276774
2015-06-29,82.24249999999998,69.53450000000001,68.478125,71.89250000000001,81.88250000000002,67.64964285714285,68.309375,78.1175,76.825625,68.30000000000001,71.7298873467241
2015-06-30,83.14571428571429,71.46885714285716,71.82285714285716,72.26,81.33142857142856,64.9349107142857,63.98428571428572,75.69999999999997,77.72214285714284,65.2,71.3532857804108
2015-07-01,84.60500000000002,65.2415,68.151875,67.31375,79.03250000000001,60.3275,61.19375,78.8225,75.72874999999998,59.1125,67.64119286703803
2015-07-02,83.0075,63.778999999999996,69.164375,63.5675,81.43249999999998,62.330401785714294,65.665625,78.94999999999997,73.023125,59.6525,67.88697629334784
2015-07-03,77.63000000000002,68.4185,68.624375,66.50375,83.13499999999998,63.39031249999999,69.11375,79.30250000000002,73.360625,63.9125,69.76334837641434
2015-07-04,78.64250000000001,70.9115,70.78999999999998,69.5525,81.3425,66.32375,69.22625,75.59,73.98500000000001,70.0325,71.5541327576271
2015-07-05,78.755,73.9445,73.14124999999999,73.76,81.32750000000001,69.395,71.976875,72.5675,76.65125,72.8525,73.82068928032473
2015-07-06,79.9925,75.155,75.903125,73.76,82.79,73.50968750000001,66.025625,76.73750000000003,79.025,73.35500000000002,75.16800898085468
2015-07-07,79.4075,66.866,72.640625,64.19749999999999,84.38,66.2253125,60.96312500000001,81.53,70.491875,63.5825,69.44565885900415
2015-07-08,76.37,61.06999999999999,64.50125,62.69,84.63499999999998,60.89,62.00937500000001,81.56750000000002,65.84,60.3575,65.57026637018564
2015-07-09,80.35249999999998,68.43671428571429,70.03571428571429,69.4325,84.96571428571428,66.51928571428572,69.719,85.17714285714284,69.92214285714286,67.88,71.24130159485865
2015-07-10,82.98500000000001,70.44800000000002,69.175625,70.4525,83.345,68.01125,72.156875,82.415,72.685625,70.23499999999999,72.46563814027262
2015-07-11,84.245,70.781,70.953125,73.445,83.63,70.7421875,72.359375,83.18,80.729375,71.50999999999998,74.41073452391561
2015-07-12,84.85249999999998,76.54549999999998,75.10919642857144,78.50750000000002,85.0025,72.6546875,74.00187500000001,83.5975,82.821875,72.7775,77.29025069136515
2015-07-13,86.2475,79.97,75.18875,83.5025,85.16749999999998,71.24281250000001,73.113125,84.8825,85.589375,75.55250000000002,78.64777066395116
2015-07-14,87.59428571428572,77.2025,76.59419642857142,79.30625,84.5,70.3371875,71.39750000000002,83.665,84.695,71.9375,77.22041731706523
2015-07-15,88.52,69.40528571428571,71.853125,72.4325,84.29750000000001,64.03437500000001,67.735625,83.9,80.59812500000002,64.3775,72.24219605201286
2015-07-16,85.6175,70.277,71.121875,73.56875,85.31750000000002,64.56875,67.184375,83.16499999999998,82.191875,64.92500000000001,72.54983027031123
2015-07-17,85.86500000000002,82.0265,78.80562499999998,81.12875,85.1975,71.90093750000003,74.305625,85.41499999999998,84.88625,77.5325,79.7006179839898
2015-07-18,86.63,82.08950000000002,79.38178571428571,80.7575,86.08250000000002,75.723125,75.2,85.94749999999998,83.733125,77.6525,80.49601079213042
2015-07-19,87.64250000000001,79.65050000000002,79.233125,75.95375,86.9975,75.0228125,70.95875,85.22,79.829375,75.92000000000002,78.7377932735768
2015-07-20,87.35,75.64099999999998,75.99312499999998,72.70250000000001,85.94,70.795625,70.39625000000002,85.9175,77.855,74.42,76.22347723917935
2015-07-21,79.745,74.5655,75.138125,70.75999999999998,85.69999999999997,70.7032142857143,66.3125,85.25,75.813125,70.74928571428572,74.42338969801071
2015-07-22,80.645,73.319,72.168125,71.31875,85.715,68.30857142857144,68.388125,81.215,74.800625,70.92500000000003,73.42565537957302
2015-07-23,85.5275,75.23150000000003,74.93,72.75874999999998,86.78,70.96678571428572,73.32124999999998,83.345,78.963125,73.86500000000002,76.22931612229323
2015-07-24,88.36250000000003,75.93800000000002,75.5375,75.14750000000002,86.8775,74.29035714285716,73.3925,81.7775,81.3425,74.00750000000002,77.44582759106245
2015-07-25,87.845,79.77199999999999,76.96625,79.1825,86.5925,76.20285714285714,73.765625,82.92500000000003,81.62937500000002,77.555,79.33898340103057
2015-07-26,87.66499999999998,76.631,77.81401785714286,77.19125,86.45,75.18714285714285,75.779375,83.525,81.809375,73.75999999999998,78.35892955798357
2015-07-27,88.38499999999998,78.09800000000001,78.69312500000002,76.9325,85.73750000000003,76.5275,75.6725,84.57499999999997,83.508125,74.2175,79.20695549871081
2015-07-28,88.27250000000002,80.37500000000001,79.91375000000002,74.7125,86.42750000000002,77.86142857142858,74.879375,84.3575,84.4025,75.845,80.12986216837189
2015-07-29,87.9125,80.1995,80.684375,74.86250000000003,87.67250000000001,78.41107142857143,70.025,84.41750000000002,81.52812500000002,78.38,79.85922081008793
2015-07-30,84.11,77.396,75.75125,74.66,86.7125,75.22571428571429,70.78999999999998,84.2825,77.90562500000001,75.98750000000003,77.4019112305307
2015-07-31,81.7475,78.125,77.04741071428572,75.7625,85.1825,72.425,69.56375,81.52250000000002,79.1825,74.5475,76.80232723835218
2015-08-01,83.0075,75.4565,74.86812499999998,74.00750000000002,85.28,69.8590625,70.52,80.9,79.784375,73.0325,75.53596207433746
2015-08-02,84.0875,81.059,77.55125,76.1,84.42500000000003,72.3678125,71.92625,82.22,80.853125,77.6675,78.25694852166991
2015-08-03,83.12000000000002,75.848,76.39250000000001,74.12,85.58000000000001,67.7103125,64.20875000000001,83.2775,80.59437500000001,71.0,74.88572343213856
2015-08-04,81.005,71.834,72.539375,69.755,85.5425,66.824375,62.943125,84.2675,78.423125,69.1325,72.675230148362
