DATE,CT,ME,MA,NH,RI,VT,T_WA
2015-11-09,48.0,36.875,43.5,40.25,48.0,38.8,43.806748610632376
2015-11-10,46.0,42.75,43.33333333333334,41.75,48.0,41.0,44.01087460861567
2015-11-11,49.5,43.625,44.66666666666666,41.5,49.0,42.2,45.64865237015161
2015-11-12,49.0,40.0,45.5,43.5,50.0,44.2,45.92585574072673
2015-11-13,53.0,38.5,49.66666666666666,47.5,53.0,48.16666666666666,49.43245425544281
2015-11-14,52.0,47.0,48.16666666666666,48.25,53.0,45.5,49.22211988928575
2015-11-15,44.0,38.75,38.0,37.75,41.0,36.333333333333336,39.63004054501711
2015-11-16,45.0,36.25,41.66666666666666,39.75,46.0,39.5,42.01935072623134
2015-11-17,51.5,36.625,45.33333333333334,41.25,50.0,39.5,45.73964254984974
2015-11-18,39.5,32.5,35.833333333333336,33.25,40.0,32.8,36.34533271768534
2015-11-19,41.0,31.125,35.5,33.5,38.0,35.166666666666664,36.40596686364124
2015-11-20,56.0,38.25,49.33333333333334,43.75,51.0,50.5,49.587431238924346
2015-11-21,50.0,43.375,46.5,44.0,53.0,41.5,47.08231251696271
2015-11-22,44.0,35.0,38.5,36.25,44.0,34.166666666666664,39.50824899945973
2015-11-23,46.5,37.125,39.833333333333336,37.0,42.0,40.5,41.112328657682355
2015-11-24,35.5,29.75,30.33333333333333,31.0,35.0,28.0,31.817376221306706
2015-11-25,35.0,23.5,30.66666666666667,28.0,34.0,25.33333333333333,30.827893578715923
2015-11-26,37.5,23.625,33.0,30.25,37.0,32.666666666666664,33.25139983687955
2015-11-27,45.5,35.375,42.833333333333336,39.25,45.0,42.333333333333336,42.60381869604281
2015-11-28,53.5,47.0,53.0,50.0,52.0,51.33333333333334,52.160589337568545
2015-11-29,50.5,33.25,45.5,42.75,50.0,38.16666666666666,45.352600013665594
2015-11-30,40.5,24.625,32.833333333333336,29.5,41.0,28.33333333333333,34.01967080458556
2015-12-01,35.5,17.75,29.16666666666667,24.75,35.0,25.33333333333333,29.504555998403866
2015-12-02,39.0,25.875,32.0,25.33333333333333,37.0,27.5,32.68358248125993
2015-12-03,44.5,36.875,43.0,38.0,50.0,41.2,42.7715350753311
2015-12-04,46.0,35.25,43.0,38.66666666666666,50.0,39.0,42.953230781169474
2015-12-05,42.0,29.25,38.0,37.333333333333336,40.0,37.0,38.20798510589009
2015-12-06,41.0,36.0,38.66666666666666,38.333333333333336,43.0,37.0,39.194234877952354
2015-12-07,40.5,36.375,40.333333333333336,37.333333333333336,43.0,32.0,39.580173624052655
2015-12-08,42.5,36.75,40.16666666666666,38.66666666666666,43.0,33.166666666666664,40.188243671762564
2015-12-09,44.0,28.75,35.833333333333336,31.5,41.0,31.16666666666667,36.928939618960634
2015-12-10,41.0,28.0,38.16666666666666,37.0,41.0,36.0,37.93081103798617
2015-12-11,50.5,37.625,46.83333333333334,43.25,52.0,46.16666666666666,46.89260162901745
2015-12-12,49.0,42.0,46.5,42.25,51.0,47.16666666666666,46.65281908312997
2015-12-13,52.5,43.625,49.33333333333334,43.25,53.0,44.5,49.07827661290491
2015-12-14,53.5,35.75,49.33333333333334,42.0,52.0,40.16666666666666,48.237368454863855
2015-12-15,54.5,33.5,50.83333333333334,43.5,54.0,48.5,49.600633894244844
2015-12-16,54.5,33.857142857142854,51.16666666666666,47.0,56.0,45.66666666666666,50.13194308309451
2015-12-17,43.5,29.375,39.5,35.25,44.0,35.666666666666664,39.31457784427501
2015-12-18,48.0,33.75,43.83333333333334,38.0,47.0,42.5,43.5566241786916
2015-12-19,44.0,37.375,42.16666666666666,40.0,46.0,40.0,42.15711539924081
2015-12-20,37.0,29.25,33.0,32.25,37.0,30.83333333333333,33.746782791244016
2015-12-21,37.0,22.875,31.0,29.5,36.0,27.33333333333333,31.77057795802775
2015-12-22,43.5,29.0,37.66666666666666,33.75,42.0,35.5,38.14229439443942
2015-12-23,52.0,33.625,48.5,41.25,56.0,44.0,47.67566555628629
2015-12-24,48.5,36.0,47.0,41.5,51.0,46.66666666666666,46.1318754030661
2015-12-25,57.0,42.5,56.5,49.25,60.0,53.66666666666666,54.819007835579185
2015-12-26,54.0,41.875,50.33333333333334,45.75,57.0,42.333333333333336,50.16771677448141
2015-12-27,51.0,35.125,43.66666666666666,39.25,52.0,36.333333333333336,44.536338012397344
2015-12-28,51.0,28.5,42.333333333333336,37.0,53.0,36.16666666666666,43.175656995640004
2015-12-29,36.5,19.0,29.66666666666667,26.25,37.0,23.0,30.27209182271574
2015-12-30,33.5,14.0,28.5,22.0,34.0,24.66666666666667,28.023866430655545
2015-12-31,35.0,18.125,30.66666666666667,26.5,31.0,32.166666666666664,30.276945147802113
2016-01-01,41.25,30.222222222222218,40.111111111111114,36.5,43.5,35.714285714285715,39.2154679722825
2016-01-02,36.75,30.0,36.111111111111114,32.5,38.0,32.0,35.34242814709959
2016-01-03,34.0,28.11111111111111,33.111111111111114,31.0,34.0,30.0,32.611142745271984
2016-01-04,37.25,27.66666666666667,35.888888888888886,33.0,38.5,29.142857142857146,35.109434308387975
2016-01-05,23.0,17.0,24.33333333333333,19.0,24.5,14.4,22.45494499417079
