DATE,KS,NE,ND,OK,SD,T_WA
2016-12-10,30.59375,21.43464285714285,-6.579999999999997,38.89625,7.756249999999998,27.39831629241747
2016-12-11,36.455,24.88678571428572,2.149999999999995,49.415000000000006,11.935625000000002,34.643845568826855
2016-12-12,25.745,18.287857142857145,-0.28000000000000114,34.37375,-1.0750000000000028,23.463905670204053
2016-12-13,20.0,8.45,0.5100000000000016,35.99,1.2218749999999936,20.90559308296705
2016-12-14,20.39,15.755,-1.052500000000002,30.50375,5.770625000000003,20.560327026383707
2016-12-15,22.51625,16.00892857142857,-7.071249999999999,28.52375,-0.4618749999999992,19.483968831454288
2016-12-16,30.81875,18.834285714285716,-0.3100000000000023,45.365,11.035625,30.163612691007653
2016-12-17,13.80875,2.415714285714284,-10.36,33.69875,-5.627500000000005,15.823102728611646
2016-12-18,1.1637499999999967,-3.492142857142852,-10.482500000000009,11.3,-14.389375,1.9739824079665198
2016-12-19,12.447499999999998,17.204642857142858,25.14357142857143,19.32125,14.039375,16.99089907900261
2016-12-20,30.36875,32.520714285714284,28.625,34.925,30.711875,32.39397156864373
2016-12-21,35.51,37.01428571428571,30.48,39.81875,32.39375,36.789205918691955
2016-12-22,32.61875,29.438214285714285,25.505,37.6925,23.118125,32.628155035230165
2016-12-23,39.88625,33.485,20.75,42.56375,31.235,37.587589313632584
2016-12-24,34.64375,26.857142857142854,14.735,45.635,19.776875,34.65386975419067
2016-12-25,50.919285714285714,35.98892857142857,19.1225,61.58750000000001,32.25875,48.2969687025295
2016-12-26,41.72,26.86678571428572,15.155,53.92625,20.046875,39.82074489531991
2016-12-27,37.7075,30.013571428571428,7.977499999999999,41.86625,21.149375,34.288676346269995
2016-12-28,38.5025,36.924285714285716,25.01,50.88875,30.216875,41.214769119458374
2016-12-29,36.185,32.22821428571429,23.42,43.565,28.31,36.64943447604315
2016-12-30,40.37000000000001,32.79714285714286,21.605,42.125,25.300625,36.98903518671015
2016-12-31,40.175,29.458571428571428,17.150000000000002,47.21,23.5325,37.76747225949522
2017-01-01,34.491875,27.361785714285716,19.4525,42.24875,22.29125,33.979685813685116
2017-01-02,42.76625,29.20678571428572,12.822499999999998,54.23,26.965625,41.07605104576041
2017-01-03,26.740625,14.305357142857144,-2.2974999999999994,38.06375,5.163125000000004,24.78230763195057
2017-01-04,16.55375,7.951250000000003,-8.627500000000005,26.87,-3.5387500000000074,15.330534898555356
2017-01-05,12.537499999999998,4.347959183673464,-6.54571428571429,23.678214285714283,-4.027321428571426,12.446101771133549
2017-01-06,9.910625000000003,2.775714285714283,-3.745000000000005,16.238749999999996,2.873750000000001,9.394590618910511
2017-01-07,13.623124999999998,6.038214285714287,-13.082500000000005,17.735,-0.754374999999996,10.611832116029946
2017-01-08,24.215,17.62892857142857,-1.9675000000000007,29.255,7.863125,21.610994731370795
2017-01-09,34.48625,25.91857142857143,2.3299999999999983,40.775,10.180625,30.87944323795565
2017-01-10,47.2325,31.20607142857143,3.229999999999997,59.675,13.865000000000002,42.944225484226344
2017-01-11,39.498125,20.483214285714286,-4.532499999999999,58.74125,5.646874999999998,37.18848661488531
