DATE,NY,T_WA
2015-11-28,42.19892857142858,42.19892857142858
2015-11-29,35.68678571428571,35.68678571428571
2015-11-30,34.98285714285714,34.98285714285714
2015-12-01,43.06035714285714,43.06035714285714
2015-12-02,46.43535714285714,46.43535714285714
2015-12-03,42.53734693877553,42.53734693877553
2015-12-04,42.03178571428572,42.03178571428572
2015-12-05,40.839285714285715,40.839285714285715
2015-12-06,37.58,37.58
2015-12-07,38.926785714285714,38.926785714285714
2015-12-08,38.19714285714286,38.19714285714286
2015-12-09,41.682040816326534,41.682040816326534
2015-12-10,50.03214285714286,50.03214285714286
2015-12-11,51.755,51.755
2015-12-12,49.81678571428571,49.81678571428571
2015-12-13,51.60714285714286,51.60714285714286
2015-12-14,55.923928571428576,55.923928571428576
2015-12-15,51.176428571428566,51.176428571428566
2015-12-16,43.148367346938784,43.148367346938784
2015-12-17,49.09219387755102,49.09219387755102
2015-12-18,39.62428571428571,39.62428571428571
2015-12-19,32.340714285714284,32.340714285714284
2015-12-20,34.20178571428571,34.20178571428571
2015-12-21,45.19464285714286,45.19464285714286
2015-12-22,51.68214285714286,51.68214285714286
2015-12-23,51.22785714285714,51.22785714285714
2015-12-24,59.123979591836736,59.123979591836736
2015-12-25,48.34142857142857,48.34142857142857
2015-12-26,42.8225,42.8225
2015-12-27,45.7759693877551,45.7759693877551
2015-12-28,31.76214285714286,31.762142857142855
2015-12-29,36.5675,36.5675
2015-12-30,39.71107142857143,39.71107142857143
2015-12-31,39.64571428571429,39.64571428571429
2016-01-01,33.71,33.71
2016-01-02,31.569285714285716,31.569285714285712
2016-01-03,34.426785714285714,34.426785714285714
2016-01-04,16.99892857142857,16.99892857142857
2016-01-05,15.13464285714286,15.134642857142858
2016-01-06,26.927857142857146,26.927857142857146
2016-01-07,29.9194387755102,29.9194387755102
2016-01-08,32.49821428571428,32.49821428571428
2016-01-09,42.71964285714286,42.71964285714286
2016-01-10,44.81214285714286,44.81214285714286
2016-01-11,25.297755102040817,25.297755102040817
2016-01-12,25.358673469387757,25.358673469387757
2016-01-13,20.775714285714287,20.775714285714287
2016-01-14,24.40142857142857,24.40142857142857
2016-01-15,36.58632653061225,36.58632653061225
2016-01-16,38.3675,38.3675
2016-01-17,30.521428571428572,30.521428571428572
2016-01-18,19.522142857142857,19.522142857142857
2016-01-19,18.8825,18.8825
2016-01-20,25.565,25.565
2016-01-21,23.93826530612245,23.93826530612245
2016-01-22,19.44821428571429,19.44821428571429
2016-01-23,21.1325,21.1325
2016-01-24,21.971428571428575,21.971428571428575
2016-01-25,30.54714285714286,30.547142857142855
2016-01-26,38.955714285714286,38.955714285714286
2016-01-27,35.4425,35.4425
2016-01-28,32.986785714285716,32.986785714285716
2016-01-29,30.80428571428572,30.804285714285715
2016-01-30,32.8325,32.8325
2016-01-31,43.886428571428574,43.886428571428574
