DATE,NC,SC,T_WA
2017-06-01,73.36850000000003,76.41499999999998,74.37161823437255
2017-06-02,74.45750000000002,78.17750000000002,75.68238095580696
2017-06-03,75.002,78.2825,76.08216719772167
2017-06-04,73.2605,77.11250000000003,74.52884447359364
2017-06-05,73.40899999999999,76.70750000000002,74.49509404105625
2017-06-06,73.4855,76.1,74.34637399434335
2017-06-07,68.4365,70.00999999999999,68.95460488816188
2017-06-08,63.7835,68.6225,65.37683304977145
2017-06-09,68.9,73.25,70.33232047251617
2017-06-10,74.32249999999998,76.91,75.17448372934152
2017-06-11,76.1135,76.88,76.36588474532958
2017-06-12,76.0505,76.9625,76.35079339561719
2017-06-13,75.7445,76.9625,76.14554973230453
2017-06-14,77.54899999999999,79.8125,78.29430054931962
2017-06-15,77.7245,80.60749999999999,78.67378274075037
2017-06-16,76.541,76.86500000000002,76.6476831800219
2017-06-17,76.73,78.63499999999998,77.35725758623984
2017-06-18,78.66050000000001,80.495,79.26454411651287
2017-06-19,78.3275,81.14,79.2535692710234
2017-06-20,73.814,76.1825,74.5938738021045
2017-06-21,74.10650000000003,75.7475,74.64683055066646
2017-06-22,74.723,78.74000000000002,76.045673870827
2017-06-23,80.006,82.1225,80.7028979954208
2017-06-24,78.12950000000002,80.1875,78.80713575458353
2017-06-25,73.9265,77.5025,75.10396620913055
2017-06-26,72.5,77.6075,74.18174179617849
2017-06-27,72.0095,76.1,73.35637514777642
2017-06-28,70.8125,76.25,72.60290059064522
2017-06-29,74.66899999999998,77.3075,75.53777645212274
2017-06-30,76.34360000000002,75.98400000000002,76.2251948409387
2017-07-01,77.48150000000003,80.66750000000002,78.53055127021531
2017-07-02,78.773,81.51499999999999,79.67585580129638
2017-07-03,78.7055,78.1925,78.53658496496533
2017-07-04,78.053,80.61500000000002,78.89658736795093
2017-07-05,78.55699999999999,82.92500000000003,79.99524731585072
2017-07-06,79.9205,81.4175,80.41341580399005
2017-07-07,80.771,82.73750000000003,81.41850763429957
2017-07-08,79.39399999999999,81.5375,80.09978826042261
2017-07-09,76.16300000000003,79.2425,77.17698411381923
2017-07-10,78.12950000000002,78.32,78.192225758624
2017-07-11,80.555,80.5475,80.55253048194395
2017-07-12,82.3055,83.21000000000002,82.60332387756112
2017-07-13,82.26500000000001,83.87,82.79347686399736
2017-07-14,82.5575,84.1175,83.07115975566099
2017-07-15,79.6505,81.21607142857144,80.16599425478833
2017-07-16,78.43100000000003,77.405,78.09316992993068
2017-07-17,76.12764285714286,76.7975,76.3482060983786
2017-07-18,76.15014285714284,79.19749999999998,77.15354332215036
2017-07-19,78.18350000000002,79.79749999999999,78.71494028566464
2017-07-20,81.0125,82.235,81.41503144313818
2017-07-21,83.6195,83.4125,83.55134130165267
2017-07-22,83.61500000000002,84.17,83.79774433614863
2017-07-23,80.47442857142858,81.69607142857143,80.87667778393177
2017-07-24,79.4525,79.37,79.42533530138331
2017-07-25,82.37321428571428,81.48499999999999,82.08075279021774
2017-07-26,78.45349999999998,79.43,78.77503125089932
2017-07-27,79.79857142857142,80.07499999999997,79.889590808352
2017-07-28,77.59978571428572,79.845,78.33906534339246
2017-07-29,76.51400000000002,81.76249999999997,78.24216873563245
2017-07-30,73.4585,76.78999999999998,74.5554599205029
2017-07-31,72.6215,75.6275,73.61128283686979
2017-08-01,73.7105,76.10749999999999,74.49975797071752
2017-08-02,75.6455,76.9025,76.05939122619604
2017-08-03,76.1855,78.1775,76.84140399569016
2017-08-04,77.4065,78.52250000000002,77.77396428674209
2017-08-05,77.18,78.545,77.62945228620335
2017-08-06,75.72649999999999,79.3325,76.91384428135477
2017-08-07,77.63385714285717,80.1092857142857,78.44893921667523
2017-08-08,73.814,76.41499999999998,74.67042886184242
2017-08-09,72.815,74.69749999999998,73.43484903207165
2017-08-10,73.82621428571429,77.12,74.91075605827814
2017-08-11,76.487,78.29,77.0806721406774
2017-08-12,78.2195,81.59750000000003,79.3317709324505
2017-08-13,77.108,80.80250000000002,78.32448459441633
2017-08-14,77.16199999999999,80.525,78.26933189633836
2017-08-15,77.69257142857144,80.66571428571429,78.67153542443373
2017-08-16,80.0555,84.68,81.57820483336805
2017-08-17,81.52871428571426,85.62,82.87584814490609
