DATE,CA,T_WA
2018-07-05,73.90625,73.90625
2018-07-06,79.27250000000002,79.27250000000002
2018-07-07,79.955,79.955
2018-07-08,78.0125,78.0125
2018-07-09,79.17125,79.17125
2018-07-10,79.115,79.115
2018-07-11,77.67875000000002,77.67875000000002
2018-07-12,77.4725,77.4725
2018-07-13,77.345,77.345
2018-07-14,78.97999999999998,78.97999999999998
2018-07-15,78.3725,78.3725
2018-07-16,79.1525,79.1525
2018-07-17,79.325,79.325
2018-07-18,79.29124999999998,79.29124999999998
2018-07-19,79.74125,79.74125
2018-07-20,75.14875,75.14875
2018-07-21,77.1875,77.1875
2018-07-22,78.38749999999997,78.38749999999997
2018-07-23,79.70250000000001,79.70250000000001
2018-07-24,78.37875,78.37875
2018-07-25,80.99000000000002,80.99000000000002
2018-07-26,79.7525,79.7525
2018-07-27,78.44125,78.44125
2018-07-28,78.155,78.155
2018-07-29,79.05125000000002,79.05125000000002
2018-07-30,79.15625,79.15625
2018-07-31,79.23124999999997,79.23124999999997
2018-08-01,79.62375,79.62375
2018-08-02,77.69874999999998,77.69874999999998
2018-08-03,77.64125000000001,77.64125000000001
2018-08-04,77.3425,77.3425
2018-08-05,75.31625,75.31625
2018-08-06,77.075,77.075
2018-08-07,77.2125,77.2125
2018-08-08,78.59375,78.59375
2018-08-09,79.49000000000002,79.49000000000002
2018-08-10,80.76125,80.76125
2018-08-11,79.28,79.28
2018-08-12,77.6825,77.6825
2018-08-13,75.64625,75.64625
2018-08-14,75.1175,75.1175
2018-08-15,75.08,75.08
2018-08-16,76.69999999999997,76.69999999999997
2018-08-17,77.99875000000002,77.99875000000002
2018-08-18,78.47,78.47
2018-08-19,78.00125,78.00125
2018-08-20,77.36500000000002,77.36500000000002
2018-08-21,73.17375,73.17375
2018-08-22,73.0025,73.0025
2018-08-23,72.44375,72.44375
2018-08-24,71.0375,71.0375
2018-08-25,71.795,71.795
2018-08-26,72.185,72.185
2018-08-27,71.04124999999998,71.04124999999998
2018-08-28,71.21375,71.21375
2018-08-29,72.1625,72.1625
2018-08-30,70.52375,70.52375
2018-08-31,70.9625,70.9625
2018-09-01,72.71000000000002,72.71000000000002
2018-09-02,74.28875000000002,74.28875000000002
2018-09-03,74.6975,74.6975
2018-09-04,73.94,73.94
2018-09-05,73.80875,73.80875
2018-09-06,72.98375,72.98375
2018-09-07,75.18125,75.18125
2018-09-08,74.77875,74.77875
2018-09-09,73.55250000000002,73.55250000000002
2018-09-10,73.07,73.07
2018-09-11,72.56750000000002,72.56750000000002
2018-09-12,69.93125,69.93125
2018-09-13,70.9625,70.9625
2018-09-14,69.29375000000002,69.29375000000002
2018-09-15,63.855,63.855
2018-09-16,66.79499999999999,66.79499999999999
2018-09-18,67.31,67.31
2018-09-19,64.6775,64.6775
2018-09-20,70.725,70.725
2018-09-21,71.0125,71.0125
2018-09-22,71.12,71.12
2018-09-23,67.7675,67.7675
2018-09-24,74.06750000000002,74.06750000000002
2018-09-25,70.95875000000002,70.95875000000002
2018-09-26,71.1875,71.1875
2018-09-27,71.23625000000001,71.23625000000001
2018-09-28,70.37,70.37
2018-09-29,66.785,66.785
2018-09-30,68.39750000000001,68.39750000000001
2018-10-01,70.76,70.76
2018-10-02,69.88125,69.88125
2018-10-03,66.53,66.53
2018-10-04,65.52875,65.52875
2018-10-05,64.64000000000001,64.64000000000001
2018-10-06,65.35625,65.35625
2018-10-07,65.5325,65.5325
2018-10-08,66.54125,66.54125
2018-10-09,66.24375,66.24375
2018-10-10,64.30499999999999,64.30499999999999
2018-10-11,63.87125,63.87125
2018-10-12,65.50999999999999,65.50999999999999
2018-10-13,66.32750000000001,66.32750000000001
2018-10-14,64.39625000000001,64.39625000000001
2018-10-15,64.05875,64.05875
2018-10-16,64.11875,64.11875
2018-10-17,63.78875,63.78875
2018-10-18,64.60625,64.60625
2018-10-19,65.52875,65.52875
2018-10-20,66.725,66.725
2018-10-21,63.91125,63.91125000000001
2018-10-22,62.78874999999999,62.78874999999999
2018-10-23,64.6125,64.6125
2018-10-24,62.08125,62.081250000000004
2018-10-25,64.595,64.595
2018-10-26,66.34625000000001,66.34625000000001
2018-10-27,65.7475,65.7475
2018-10-28,64.15,64.15
2018-10-29,61.95500000000001,61.95500000000001
2018-10-30,61.12624999999999,61.126249999999985
2018-10-31,62.27375000000001,62.27375000000001
2018-11-01,65.36,65.36
2018-11-02,66.95750000000001,66.95750000000001
2018-11-03,66.99875,66.99875
2018-11-04,64.05125,64.05125
2018-11-05,62.7375,62.737500000000004
2018-11-06,61.91625000000001,61.91625000000001
2018-11-07,60.15500000000001,60.155000000000015
2018-11-08,59.5425,59.5425
2018-11-09,56.8175,56.81750000000001
2018-11-10,55.57625,55.576249999999995
2018-11-11,56.12000000000001,56.120000000000005
2018-11-12,54.72875000000001,54.72875000000001
2018-11-13,54.87875,54.87875
2018-11-14,55.16625000000001,55.16625000000001
2018-11-15,54.50749999999999,54.50749999999999
2018-11-16,45.065,45.065
2018-11-22,56.675,56.675000000000004
2018-11-23,55.22125,55.22125
