DATE,AZ,NM,T_WA
2015-04-08,58.5,60.14285714285714,58.86742292128906
2015-04-09,55.0,62.57142857142857,56.693340419853946
2015-04-10,53.0,54.73333333333333,53.38765780680934
2015-04-11,56.83333333333334,55.66666666666666,56.572409809519364
2015-04-12,60.0,60.4,60.089459493879076
2015-04-13,62.16666666666666,58.57142857142857,61.36259621572973
2015-04-14,62.33333333333334,53.83333333333334,60.43231908840297
2015-04-15,66.0,53.8,63.271485436688174
2015-04-16,54.5,57.6,55.19331107756284
2015-04-17,48.16666666666666,53.73333333333333,49.41164462315047
2015-04-18,53.16666666666666,48.26666666666666,52.07078786664797
2015-04-19,60.5,52.06666666666667,58.61389567071614
2015-04-20,63.0,55.13333333333333,61.2406299537115
2015-04-21,64.16666666666667,55.8,62.295472253029324
