DATE,AR,IL,IN,IA,LA,MI,MN,MS,MO,WI,T_WA
2020-01-16,60.1304347826087,35.75,38.714285714285715,16.857142857142858,70.77777777777777,31.210526315789476,13.6,68.55555555555556,41.882352941176464,22.16666666666667,37.11030233745588
2020-01-18,43.33333333333334,25.375,26.57142857142857,17.866666666666667,62.33333333333334,20.11111111111111,12.6,56.111111111111114,31.64705882352941,15.0,27.930059839378018
2020-01-19,48.69565217391305,26.25,32.42857142857143,15.8,65.33333333333333,27.47368421052632,15.111111111111109,60.66666666666666,35.941176470588225,18.777777777777782,31.610496711194905
2020-01-21,31.83333333333333,17.875,18.571428571428573,11.25,44.77777777777778,17.5625,12.0,36.77777777777778,17.066666666666666,14.333333333333336,20.26685700805826
2020-01-22,31.20833333333333,20.625,25.857142857142854,11.666666666666664,41.77777777777778,21.473684210526315,13.6,35.111111111111114,22.294117647058826,13.928571428571427,22.606597631933926
2020-01-23,32.708333333333336,28.375,27.714285714285715,28.4,42.333333333333336,27.947368421052627,26.555555555555557,38.111111111111114,31.529411764705888,27.055555555555557,30.015439739580412
2020-01-24,38.79166666666666,33.375,37.42857142857143,31.8,53.88888888888889,32.1578947368421,29.555555555555557,47.111111111111114,34.875,31.055555555555557,35.627382618032
2020-01-25,38.958333333333336,35.625,38.857142857142854,31.53333333333333,50.77777777777778,35.10526315789474,28.88888888888889,46.22222222222222,34.13333333333333,33.5,36.549241851185485
2020-01-26,41.54166666666666,32.75,34.285714285714285,27.66666666666667,50.33333333333334,35.05555555555556,29.0,44.77777777777778,31.75,33.44444444444444,35.02268313477968
2020-01-27,47.875,31.625,34.857142857142854,26.266666666666666,53.444444444444436,33.1578947368421,25.75,47.33333333333334,34.9375,30.555555555555557,34.88807954086021
2020-01-28,48.29166666666666,30.0,32.857142857142854,27.66666666666667,52.88888888888889,32.05263157894737,21.25,49.33333333333334,35.125,29.83333333333333,33.82730195217911
2020-01-29,41.44,29.875,32.57142857142857,22.53333333333333,51.444444444444436,29.47368421052632,17.125,48.22222222222222,31.529411764705888,25.66666666666667,31.429647708325465
2020-01-30,41.6,31.0,33.57142857142857,22.66666666666667,53.0,27.894736842105264,20.375,49.111111111111114,31.176470588235286,24.83333333333333,31.878918534091657
2020-01-31,40.08,32.625,33.57142857142857,26.13333333333333,51.77777777777778,28.894736842105264,22.777777777777782,48.77777777777778,33.47058823529412,26.277777777777782,32.96952672929034
2020-02-01,43.88,35.0,35.42857142857143,30.6,50.111111111111114,30.315789473684212,28.444444444444446,49.111111111111114,37.29411764705883,29.944444444444446,35.47606473079241
2020-02-02,45.72,36.375,36.285714285714285,35.13333333333333,51.555555555555564,31.894736842105264,31.8,47.22222222222222,40.588235294117645,34.45454545454545,37.537538166023396
2020-02-03,56.6,45.25,47.28571428571429,39.66666666666666,57.88888888888889,37.578947368421055,35.9,54.0,53.17647058823529,37.86363636363637,45.10917169596153
2020-02-04,59.125,44.875,46.85714285714285,32.06666666666667,61.33333333333334,35.526315789473685,24.777777777777782,59.66666666666666,51.88235294117647,31.363636363636363,43.13294395817684
2020-02-05,53.91666666666666,37.75,44.0,25.33333333333333,67.77777777777777,28.26315789473684,16.4,65.375,38.411764705882355,23.73684210526316,37.43445828259599
2020-02-06,40.29166666666666,30.0,32.0,22.6,60.33333333333334,23.0,17.0,61.88888888888889,30.117647058823533,19.055555555555557,30.83684298638328
2020-02-07,33.291666666666664,29.125,28.0,21.93333333333333,44.125,23.842105263157894,18.777777777777782,44.66666666666666,27.94117647058824,20.772727272727273,27.99461995486362
2020-02-08,36.875,30.5,28.57142857142857,23.066666666666666,47.88888888888889,22.842105263157894,17.166666666666668,42.77777777777778,30.764705882352942,21.954545454545453,28.861129215827248
2020-02-09,42.869565217391305,29.25,30.857142857142854,18.928571428571427,56.77777777777778,21.5,11.0,51.111111111111114,32.411764705882355,20.666666666666668,29.274620962964864
2020-02-10,54.75,33.75,33.0,27.6,62.88888888888889,24.947368421052627,15.5,58.66666666666666,44.235294117647065,20.210526315789476,34.46105209498633
2020-02-11,50.60869565217392,34.625,37.42857142857143,22.4,68.8888888888889,27.578947368421048,15.75,65.55555555555556,36.52941176470589,15.529411764705882,34.68370059014817
2020-02-12,41.88,32.25,34.0,25.73333333333333,62.22222222222222,26.47368421052632,21.88888888888889,58.25,37.117647058823536,20.63636363636364,33.6175673031011
2020-02-13,41.16666666666666,31.125,31.714285714285715,22.466666666666665,62.111111111111114,26.78947368421053,16.4,62.111111111111114,32.47058823529412,22.5,32.357455490472816
2020-02-16,40.32,25.375,23.857142857142854,27.066666666666666,51.0,19.57894736842105,22.11111111111111,47.66666666666666,35.0,20.181818181818183,28.307029739012314
2020-02-17,52.25,32.125,34.285714285714285,29.86666666666667,59.88888888888889,25.944444444444446,22.0,54.111111111111114,40.411764705882355,20.6,34.22388275650136
2020-02-18,57.75,37.875,34.857142857142854,33.93333333333333,62.444444444444436,22.117647058823533,23.6,58.555555555555564,47.411764705882355,26.04545454545455,37.13101898744069
2020-02-19,50.58333333333334,34.125,37.142857142857146,25.2,68.22222222222223,29.157894736842106,14.5,63.555555555555564,38.647058823529406,21.142857142857142,35.43790550121703
2020-02-21,38.48,20.875,24.285714285714285,14.714285714285715,48.88888888888889,17.5,14.0,44.0,26.764705882352942,12.0,23.633796673096196
2020-02-22,34.0,25.25,25.142857142857146,25.4,44.0,23.78947368421053,22.8,39.111111111111114,28.705882352941174,19.444444444444443,27.118453746740087
