DATE,AL,GA,T_WA
2016-10-03,71.0,70.93333333333334,70.95439429950167
2016-10-04,73.0,74.53333333333333,74.04893111146161
2016-10-05,75.9,75.4,75.55795724626253
2016-10-06,76.44444444444444,72.26666666666667,73.5864872132157
2016-10-07,76.4,73.2,74.21092637608011
2016-10-08,76.6,73.06666666666666,74.18289787358846
2016-10-09,75.3,77.2,76.59976246420243
2016-10-10,68.6,68.66666666666667,68.64560570049834
2016-10-11,67.1,64.06666666666666,65.02494062732593
2016-10-12,65.7,63.4,64.12660333280758
2016-10-13,67.5,65.46666666666667,66.1090261348009
2016-10-14,69.6,69.73333333333333,69.69121140099665
2016-10-15,71.3,69.26666666666667,69.9090261348009
2016-10-16,72.5,70.8,71.33705463729255
2016-10-17,73.8,72.6,72.97909739103004
2016-10-18,74.8,72.66666666666667,73.3406175840534
2016-10-19,76.7,73.73333333333333,74.67054632782427
2016-10-20,77.2,75.33333333333333,75.92304038604672
2016-10-21,75.3,74.46666666666667,74.72992874377086
2016-10-22,62.1,65.93333333333334,64.72232777865403
2016-10-23,57.3,58.13333333333333,57.87007125622914
2016-10-24,59.4,58.6,58.85273159402003
2016-10-25,63.7,64.33333333333333,64.13325415473415
2016-10-26,67.0,64.73333333333333,65.44940618305675
2016-10-27,68.0,66.26666666666667,66.81425178704339
2016-10-28,71.6,69.8,70.36864608654506
2016-10-29,70.6,70.53333333333333,70.55439429950167
2016-10-30,71.2,69.73333333333333,70.19667458903672
2016-10-31,70.7,70.6,70.6315914492525
2016-11-01,71.5,71.13333333333334,71.24916864725918
2016-11-02,71.7,69.66666666666667,70.3090261348009
2016-11-03,71.4,71.0,71.12636579701001
2016-11-04,72.7,71.26666666666667,71.71947743928588
2016-11-05,70.1,69.13333333333334,69.4387173427742
2016-11-06,63.0,60.2,61.0845605790701
2016-11-07,61.0,59.6,60.04228028953504
2016-11-08,65.7,61.26666666666666,62.667220916860984
2016-11-09,63.3,57.46666666666667,59.30950120639604
2016-11-10,62.6,60.46666666666667,61.14061758405341
2016-11-11,57.1,55.4,55.93705463729256
2016-11-12,52.7,56.4,55.23111637765737
2016-11-13,59.0,57.93333333333333,58.2703087920267
2016-11-14,57.2,52.06666666666667,53.68836106162852
2016-11-15,55.7,54.8,55.08432304327253
2016-11-16,55.6,55.66666666666666,55.64560570049832
2016-11-17,60.3,58.2,58.86342043430257
2016-11-18,61.6,59.86666666666667,60.4142517870434
2016-11-19,62.0,60.86666666666667,61.224703091528376
2016-11-20,52.3,56.0,54.83111637765737
2016-11-21,45.3,47.6,46.87339666719242
2016-11-22,46.7,48.73333333333333,48.09097386519909
2016-11-23,50.1,49.53333333333333,49.71235154576419
2016-11-24,57.4,55.13333333333333,55.84940618305674
2016-11-25,64.1,64.06666666666666,64.07719714975083
2016-11-26,58.4,62.86666666666667,61.455581933388174
2016-11-27,48.6,52.93333333333333,51.564370532391514
2016-11-28,46.2,48.86666666666667,48.02422801993324
2016-11-29,60.7,59.66666666666666,59.99311164227586
2016-11-30,67.5,67.4,67.43159144925251
2016-12-01,62.2,67.46666666666667,65.80285033936815
2016-12-02,48.5,52.53333333333333,51.25914488014902
2016-12-03,48.8,50.13333333333333,49.71211400996662
2016-12-04,50.5,49.8,50.02114014476752
2016-12-05,53.7,52.33333333333334,52.765083139784224
2016-12-06,55.3,54.93333333333333,55.04916864725918
2016-12-07,58.4,60.73333333333333,59.99619951744158
2016-12-08,50.7,53.8,52.82066507317239
2016-12-09,43.9,48.6,47.115201885132336
2016-12-10,37.4,39.8,39.04180521793991
2016-12-11,38.5,39.6,39.25249405822246
2016-12-12,45.9,44.86666666666667,45.193111642275866
2016-12-13,59.2,57.93333333333333,58.33349169053171
2016-12-14,60.9,57.26666666666666,58.41448932284095
2016-12-15,53.0,54.46666666666667,54.003325410963285
2016-12-16,40.8,43.78571428571429,42.84248387231811
2016-12-17,45.4,41.357142857142854,42.634340019779785
2016-12-18,65.2,54.66666666666666,57.994299321263696
2016-12-19,54.111111111111114,61.93333333333333,59.462179969581946
2016-12-20,37.111111111111114,46.33333333333334,43.41989968004691
2016-12-21,42.333333333333336,43.0,42.78939033831664
2016-12-22,49.1,47.46666666666667,47.98266033779089
2016-12-23,54.9,54.86666666666667,54.87719714975084
2016-12-24,53.4,52.46666666666667,52.761520193023365
2016-12-25,63.1,60.93333333333333,61.61781473380424
2016-12-26,66.4,62.53333333333333,63.7548693710968
2016-12-27,68.6,61.0,63.40095014319026
2016-12-28,63.6,64.06666666666666,63.91923990348832
2016-12-29,63.0,60.46666666666667,61.266983381063426
2016-12-30,55.0,57.46666666666667,56.687410918438246
2016-12-31,43.3,43.2,43.231591449252505
2017-01-01,43.85714285714285,42.375,42.84323040856388
2017-01-02,58.714285714285715,57.875,58.140142520512086
2017-01-03,64.57142857142857,67.25,66.4038004664508
2017-01-04,59.28571428571429,64.625,62.93824226312526
2017-01-05,46.85714285714285,56.375,53.3681709907885
2017-01-06,43.85714285714285,50.75,48.57244653366672
2017-01-07,35.57142857142857,50.5,45.78384793301912
2017-01-08,27.42857142857143,37.625,34.40380044228937
2017-01-09,27.57142857142857,33.0,31.28503561200695
2017-01-10,36.142857142857146,37.25,36.900237526133
2017-01-11,51.57142857142857,48.125,49.21377673316664
