DATE,TX,T_WA
2017-10-28,48.77625,48.77625
2017-10-29,53.78875,53.78875
2017-10-30,59.39125,59.39125
2017-10-31,56.2375,56.2375
2017-11-01,65.12625,65.12625
2017-11-02,72.98458333333333,72.98458333333333
2017-11-03,68.66791666666666,68.66791666666666
2017-11-04,72.3825,72.3825
2017-11-05,74.31821428571428,74.31821428571429
2017-11-06,69.94500000000001,69.94500000000001
2017-11-07,63.79375,63.79375
2017-11-08,51.89,51.89
2017-11-09,50.35125,50.35125
2017-11-10,54.3275,54.3275
2017-11-11,63.1375,63.1375
2017-11-12,64.18375,64.18375
2017-11-13,63.4725,63.4725
2017-11-14,67.36333333333334,67.36333333333334
2017-11-15,66.5475,66.5475
2017-11-16,66.1875,66.1875
2017-11-17,71.43625,71.43625
2017-11-18,67.45714285714286,67.45714285714286
2017-11-19,51.05,51.05
2017-11-20,51.88500000000001,51.88500000000001
2017-11-21,59.6525,59.6525
2017-11-22,53.92125,53.92125
2017-11-23,51.97375,51.97375
2017-11-24,57.74875,57.74875
2017-11-25,60.59625000000001,60.59625000000001
2017-11-26,60.168000000000006,60.168000000000006
2017-11-27,60.71375,60.71375
2017-11-28,62.62625,62.62625
2017-11-29,58.145,58.145
2017-11-30,56.555,56.555
2017-12-01,59.43125000000001,59.43125000000001
2017-12-02,61.86958333333334,61.86958333333334
2017-12-03,64.43125,64.43125
2017-12-04,68.4125,68.4125
2017-12-05,55.5775,55.5775
2017-12-06,43.57250000000001,43.57250000000001
2017-12-07,38.93250000000001,38.93250000000001
2017-12-08,36.603235294117646,36.603235294117646
2017-12-09,45.06985294117647,45.06985294117648
2017-12-10,48.56625,48.56625
2017-12-11,50.46857142857144,50.46857142857144
2017-12-12,49.45875,49.45875
2017-12-13,47.39857142857144,47.398571428571444
2017-12-14,49.555,49.555
2017-12-15,46.3575,46.3575
2017-12-16,45.28,45.28
2017-12-17,48.83500000000001,48.83500000000001
2017-12-18,51.633,51.633
2017-12-19,59.25749999999999,59.25749999999999
2017-12-20,57.72,57.72
2017-12-21,59.7025,59.7025
2017-12-22,53.54,53.54
2017-12-23,44.58535714285715,44.58535714285715
2017-12-24,45.89482142857143,45.89482142857143
2017-12-25,42.11375,42.11375
2017-12-26,44.63125,44.63125
2017-12-27,36.9725,36.9725
2017-12-28,39.0275,39.0275
2017-12-29,44.012142857142855,44.012142857142855
2017-12-30,45.715,45.715
2017-12-31,38.83,38.83
2018-01-01,25.7825,25.7825
2018-01-02,26.915,26.915
2018-01-03,34.35875,34.35875
2018-01-04,39.52125,39.52125
2018-01-05,46.35125,46.35125
2018-01-06,48.3875,48.3875
2018-01-07,57.55875,57.55875
2018-01-08,53.4625,53.4625
2018-01-09,51.91875,51.91875
2018-01-10,56.3025,56.3025
2018-01-11,54.31875,54.31875
2018-01-12,40.9775,40.9775
2018-01-13,39.56125,39.56125
2018-01-14,42.9875,42.9875
2018-01-15,46.98375,46.98375
2018-01-16,30.23458333333333,30.23458333333333
2018-01-17,27.54125,27.54125
2018-01-18,35.23125,35.23125
2018-01-19,45.04375,45.04375
2018-01-20,55.863928571428566,55.863928571428566
2018-01-21,61.00875,61.00875
2018-01-22,52.727500000000006,52.727500000000006
2018-01-23,45.18916666666666,45.18916666666666
2018-01-24,45.9860119047619,45.9860119047619
2018-01-25,47.28125,47.28125
2018-01-26,56.20232142857142,56.20232142857142
2018-01-27,57.01,57.01
2018-01-28,52.91,52.91
2018-01-29,48.97624999999999,48.97624999999999
2018-01-30,49.0975,49.0975
2018-01-31,56.59,56.59
