DATE,AL,GA,T_WA
2018-10-21,55.79,54.95375,55.21793349437406
2018-10-22,54.5975,52.02125000000001,52.83512471136763
2018-10-23,62.074285714285715,60.73714285714286,61.15956566429062
2018-10-24,58.69499999999999,56.565,57.23789786907832
2018-10-25,59.46928571428572,54.730357142857144,56.2274533576124
2018-10-26,60.5675,54.24125,56.23980405833651
2018-10-27,56.4125,55.74125,55.95330760310743
2018-10-28,61.49,57.1925,58.55014253162634
2018-10-29,64.33250000000001,60.03125,61.39007721097331
2018-10-30,63.0425,54.755,57.37314135680123
2018-10-31,68.6075,60.575,63.11258316120734
2018-11-01,68.5775,65.51375,66.48163302647357
2018-11-02,54.515,62.05250000000001,59.67129451259255
2018-11-03,53.735,51.00875,51.87001188524638
2018-11-04,58.28,53.74,55.17425179606366
2018-11-05,64.505,62.66375,63.245427559361715
2018-11-06,70.0025,68.60375,69.0456353964194
2018-11-07,62.0825,62.8125,62.58188242045673
2018-11-08,62.21750000000001,62.31875,62.28676365763185
2018-11-09,59.8475,61.33625,60.86593229925335
2018-11-10,44.1275,48.69125,47.249495234738866
2018-11-11,47.06,46.23875,46.49819477698619
2018-11-12,53.9825,48.27875,50.08064728673967
2018-11-13,48.8375,51.96125000000001,50.97441210397493
2018-11-14,42.08,49.7375,47.31838477348954
2018-11-15,36.23,43.25,41.03228026247425
2018-11-16,31.79,35.21,34.129572435564384
2018-11-22,48.53,49.325,49.0738479784426
2018-11-23,49.0775,45.36125,46.53526723284616
2018-11-24,54.1625,46.205,48.71888957426796
2018-11-25,55.05500000000001,48.32375,50.45024942780914
2018-11-26,48.68000000000001,50.8625,50.17301662006411
2018-11-27,37.3175,39.125,38.553984554760994
2018-11-28,37.8425,36.155,36.688105706136
2018-11-29,51.935,42.46250000000001,45.45500003044341
2018-11-30,64.63999999999999,55.44875,58.352399079420714
2018-12-01,65.8475,56.64875,59.554768438114664
2018-12-02,66.2525,65.52125000000001,65.75226247265894
2018-12-03,56.5925,57.79625,57.41596792962299
2018-12-04,45.4325,46.64375,46.26109857092904
2018-12-05,38.675,38.63375,38.64678147281666
2018-12-06,38.2025,37.12625,37.46625297258007
2018-12-07,47.1125,42.55625,43.995635406567196
2018-12-08,47.84,43.71125,45.015581961012735
2018-12-09,44.3975,40.68875,41.86039787415222
2018-12-10,40.91,40.335,40.51665083320189
2018-12-11,39.7025,41.5025,40.93385391345493
2018-12-12,42.77,40.55375,41.253895494058604
2018-12-13,53.7025,44.93,47.70135988567587
2018-12-14,57.9875,53.15000000000001,54.67823635758987
2018-12-15,52.0175,54.12125,53.45664488635046
2018-12-16,51.785,50.765,51.08723278237554
2018-12-17,49.9325,50.28874999999999,50.176205462037956
2018-12-18,47.285,46.96250000000001,47.06438242383933
2018-12-19,50.855,48.28625,49.09775535267368
2018-12-20,54.05750000000001,53.6525,53.780445369472645
2018-12-21,45.0725,50.8025,48.99230995783155
2018-12-22,43.4525,44.86625,44.41962588619273
2018-12-23,53.1575,45.69125,48.049946579815035
